rollno,register_sem,schedule_sem,course_code
1511CS03,2,2,CS514
1511CS03,2,2,CS515
1511CS03,2,2,CS592
1513EE01,3,3,EE518
1201CS29,8,8,CS551
1201CS29,8,8,CS563
1201CS29,8,8,CS547
1201CS29,8,8,CS492
1511EE11,2,2,EE528
1511EE11,2,2,EE529
1511EE11,2,2,EE731
1511EE11,2,2,EE560
1511EE11,2,2,EE535
1511EE11,2,2,EE542
1511EE11,2,2,EE591
1201EE34,8,8,EE528
1201EE34,8,8,EE573
1201EE34,8,8,EE496
1401CS25,4,4,HS202
1401CS25,4,4,MA225
1401CS25,4,4,CS209
1401CS25,4,4,CS210
1401CS25,4,4,CS259
1401CS25,4,4,CS260
1401CS25,4,4,CS267
1411CE01,4,4,CE606
1401PH14,4,4,EP264
1401PH14,4,4,EP262
1401PH14,4,4,EP208
1401PH14,4,4,EP206
1401PH14,4,4,EP204
1401PH14,4,4,EP202
1401PH14,4,4,HS212
1301ME49,6,6,ME396
1301ME49,6,6,ME332
1301ME49,6,6,ME314
1301ME49,6,6,ME312
1301ME49,6,6,HS341
1511EE04,2,2,EE591
1511EE04,2,2,EE542
1511EE04,2,2,EE535
1511EE04,2,2,EE560
1511EE04,2,2,EE731
1511EE04,2,2,EE529
1511EE04,2,2,EE528
1411EE24,4,4,EE519
1201CS29,8,4,CS299
1201CS29,8,4,CS226
1311CS24,4,4,CS696
1401AI35,4,4,MA225
1401AI35,4,4,CS277
1401AI35,4,4,CS267
1401AI35,4,4,CS260
1401AI35,4,4,CS259
1401AI35,4,4,CS250
1401AI35,4,4,CS249
1401AI35,4,4,HS202
1301CB39,6,6,CB310
1301CB39,6,6,CB308
1301CB39,6,6,CB306
1301CB39,6,6,CB304
1301CB39,6,6,CB302
1301CB39,6,6,HS331
1301CB39,6,6,CB424
1411CS08,4,4,CS696
1411CS17,4,4,CS696
1411CS01,4,4,CS696
1411MC14,4,4,MA604
1411MM02,4,4,MM604
1401EE67,4,4,MA225
1401EE67,4,4,EE281
1401EE67,4,4,EE280
1401EE67,4,4,EE205
1401EE67,4,4,EE204
1401EE67,4,4,EE203
1401EE67,4,4,CS244
1401EE67,4,4,HS212
1301CB29,6,6,CB310
1301CB29,6,6,CB308
1301CB29,6,6,CB306
1301CB29,6,6,CB304
1301CB29,6,6,CB302
1301CB29,6,6,HS341
1301CB29,6,6,CB424
1412PH02,4,4,PH592
1412PH02,4,4,PH605
1412PH02,4,4,PH602
1412PH02,4,4,PH608
1201EE61,8,8,EE496
1201EE61,8,8,EE573
1201EE61,8,8,EE528
1411EE03,4,4,EE596
1411CS18,4,4,CS696
1201EE51,8,8,EE496
1201EE51,8,8,EE529
1201EE51,8,8,EE566
1401MC44,4,4,MA227
1401MC44,4,4,MA225
1401MC44,4,4,MA220
1401MC44,4,4,MA218
1401MC44,4,4,MA216
1401MC44,4,4,PH203
1401MC44,4,4,HS212
1301EE31,6,6,EE382
1301EE31,6,6,EE341
1301EE31,6,6,EE321
1301EE31,6,6,EE320
1301EE31,6,6,EE311
1301EE31,6,6,EE309
1301EE31,6,6,EE305
1301EE31,6,6,HS341
1301CB28,6,6,CB310
1301CB28,6,6,CB308
1301CB28,6,6,CB306
1301CB28,6,6,CB304
1301CB28,6,6,CB302
1301CB28,6,6,HS341
1301CB28,6,6,CB424
1511EE10,2,2,EE591
1511EE10,2,2,EE542
1511EE10,2,2,EE535
1511EE10,2,2,EE560
1511EE10,2,2,EE731
1511EE10,2,2,EE529
1511EE10,2,2,EE528
1411CE06,4,4,CE606
1312MA09,2,2,MA430
1312MA09,2,2,MA428
1312MA09,2,2,MA426
1312MA09,2,2,MA424
1312MA09,2,2,MA422
1521CS33,2,2,CS547
1521CS33,2,2,CS551
1521HS17,2,2,HS514
1521HS17,2,2,HS504
1521HS17,2,2,HS702
1521EE21,2,2,HS514
1521CH10,2,2,HS514
1521CB12,2,2,MA502
1521CE12,2,2,HS514
1521ME13,2,2,ME546
1521ME13,2,2,HS514
1521CH03,3,3,CH607
1521MA11,2,2,MA536
1521MA11,2,2,HS514
1521EE25,2,2,HS514
1521HS02,3,3,HS713
1521CB03,3,3,CB502
1521PH29,2,2,PH703
1521PH29,2,2,PH601
1521PH29,2,2,PH513
1521HS12,2,2,HS514
1521HS12,2,2,HS713
1521HS12,2,2,HS716
1521CB11,2,2,HS514
1521CB11,2,2,CB504
1521MM12,2,2,MM502
1521MM12,2,2,MM504
1421ME06,5,5,ME544
1421ME06,5,5,MM510
1521PH22,2,2,PH703
1521HS09,2,2,HS731
1521HS09,2,2,HS702
1521HS09,2,2,HS514
1521MM09,2,2,HS514
1521EE22,2,2,HS514
1521CS27,2,2,CS568
1521CS27,2,2,CS563
1521CS25,2,2,CS568
1521CS25,2,2,CS563
1521CE16,2,2,CE526
1521CE16,2,2,CE512
1521CE16,2,2,HS514
1521CE13,2,2,CE534
1521CE13,2,2,HS514
1521CE13,2,2,CE545
1521CS18,2,2,CS551
1521CS18,2,2,HS514
1521CE08,2,2,HS514
1521CE08,2,2,CE526
1521CH07,2,2,CH607
1521CH07,2,2,CH604
1521CH07,2,2,HS514
1521CE14,2,2,CE570
1521CE14,2,2,CE514
1521CH06,2,2,CH604
1521CH06,2,2,CH607
1521CH06,2,2,HS514
1521CE15,2,2,HS514
1521CE15,2,2,CE528
1521HS20,2,2,HS514
1521HS20,2,2,HS713
1521HS20,2,2,HS716
1521HS20,2,2,HS702
1521HS19,2,2,HS514
1521HS19,2,2,HS713
1521HS19,2,2,HS716
1521HS19,2,2,HS702
1521CH13,2,2,CH604
1521CH13,2,2,CH607
1521CH13,2,2,HS514
1521EE31,2,2,HS514
1521EE31,2,2,EE573
1521CE09,2,2,CE534
1521CE09,2,2,HS514
1421CS21,5,5,CS563
1521EE23,2,2,HS514
1521HS06,3,3,HS713
1521CS28,2,2,HS514
1521EE28,2,2,HS514
1521CS32,2,2,CS508
1521MM07,3,3,HS514
1521MM07,3,3,MM502
1521HS14,2,2,HS514
1521HS14,2,2,HS713
1521HS14,2,2,HS716
1521HS16,2,2,HS514
1521HS16,2,2,HS713
1521HS16,2,2,HS716
1521HS18,2,2,HS514
1521HS18,2,2,HS702
1521HS13,2,2,HS514
1521HS13,2,2,HS713
1521HS13,2,2,HS716
1521CH04,3,3,CH607
1521CH04,3,3,CH604
1521CB13,2,2,CB502
1521CB13,2,2,HS514
1521CB13,2,2,CB504
1521CE07,2,2,CE570
1521CE07,2,2,HS514
1521CE07,2,2,CE532
1521PH23,2,2,PH703
1521PH23,2,2,PH602
1521PH23,2,2,PH603
1521EE02,3,3,EE580
1521PH26,2,2,HS514
1521PH26,2,2,PH703
1521PH26,2,2,PH602
1521PH26,2,2,PH601
1521CS20,2,2,CS563
1521CS19,2,2,HS514
1521PH27,2,2,HS514
1521PH27,2,2,PH703
1521CS31,2,2,HS514
1521CS30,2,2,HS514
1521CS21,2,2,HS514
1521CS16,2,2,HS514
1521ME19,2,2,HS514
1521ME19,2,2,ME567
1521ME19,2,2,ME541
1521ME19,2,2,ME522
1521CS33,2,2,HS514
1521MA09,2,2,HS514
1521MA09,2,2,MA504
1521CE10,2,2,CE534
1521CE10,2,2,HS514
1521ME15,2,2,HS514
1521ME14,2,2,HS514
1521CH05,2,2,CH607
1521CH05,2,2,CH606
1521CH05,2,2,HS514
1521EE30,2,2,HS514
1521PH22,2,2,HS514
1401CS34,4,4,CS209
1401CS34,4,4,CS210
1401CS34,4,4,MA225
1401CS34,4,4,CS259
1401CS34,4,4,CS267
1401CS34,4,4,CS260
1401AI06,4,4,HS225
1401AI11,4,4,HS225
1401AI12,4,4,HS225
1401AI13,4,4,HS225
1401AI15,4,4,HS225
1401AI25,4,4,HS225
1401AI28,4,4,HS225
1401AI29,4,4,HS225
1401AI30,4,4,HS225
1401AI33,4,4,HS225
1401AI36,4,4,HS225
1401AI43,4,4,HS225
1401CB01,4,4,HS212
1401CB02,4,4,HS225
1401CB09,4,4,HS225
1401CB11,4,4,HS225
1401CB15,4,4,HS225
1401CB16,4,4,HS202
1401CB21,4,4,HS225
1401CB22,4,4,HS225
1401CB30,4,4,HS212
1401CB33,4,4,HS225
1401CB49,4,4,HS225
1401CB56,4,4,HS225
1401CE03,4,4,HS225
1401CE05,4,4,HS225
